Epoch,Disc_acc,GenDisc_acc,GenClass_acc,mean_RTS_sim,mean_STS_sim
173,1.0,0.0,0.0,-0.8590316,0.9695751
174,1.0,0.0,0.0,-0.8603136,0.9952885
175,1.0,0.0,0.0,-0.86092633,0.9842652
176,1.0,0.0,0.0,-0.8616839,0.9970482
177,1.0,0.0,0.0,-0.8617549,0.9961014
178,1.0,0.0,0.0,-0.861041,0.9956009
179,1.0,0.0,0.0,-0.8596819,0.98932713
180,1.0,0.0,0.0,-0.8599946,0.9959985
181,1.0,0.0,0.0,-0.8600432,0.9969986
182,1.0,0.0,0.0,-0.86085534,0.9970226
183,1.0,0.0,0.0,-0.8602505,0.99201643
184,1.0,0.0,0.0,-0.86106765,0.9964975
185,1.0,0.0,0.0,-0.85968184,0.98994863
186,1.0,0.0,0.0,-0.8601725,0.99216664
187,1.0,0.0,0.0,-0.861266,0.99515617
188,1.0,0.0,0.0,-0.86159056,0.99647933
189,1.0,0.0,0.0,-0.8614392,0.99581707
190,1.0,0.0,0.0,-0.86201894,0.99590015
191,1.0,0.0,0.0,-0.86241835,0.9925066
192,1.0,0.0,0.0,-0.8622309,0.99507713
193,1.0,0.0,0.0,-0.86308044,0.99709713
194,1.0,0.0,0.0,-0.8624606,0.99563664
195,1.0,0.0,0.0,-0.8637163,0.9965925
196,1.0,0.0,0.0,-0.86372924,0.99545467
197,1.0,0.0,0.0,-0.86557347,0.97651356
198,1.0,0.0,0.0,-0.8655798,0.98928195
199,1.0,0.0,0.0,-0.8671655,0.99588174
200,1.0,0.0,0.0,-0.8670741,0.99569833
